ID,Name,Type,Longitude ,Latitude ,Evacuation_Centers
84,traffic_signals,traffic_signals,79.8614159,6.918699,
85,traffic_signals,traffic_signals,79.8709071,6.9115314,
86,crossing,crossing,80.0229443,6.7219952,
87,crossing,crossing,80.037951,6.7250658,
88,Delkanda Junction,traffic_signals,79.9014532,6.8630104,
89,Gamsabha Junction,traffic_signals,79.8965756,6.8651356,
90,Labuduwa Junction,junction,80.2338355,6.0706892,
91,Sacred Heart Convent,school,80.2110256,6.0365987,Yes
92,Saint Aloysius College,school,80.2121328,6.0361207,Yes
93,Saint Aloysius Church,place_of_worship,80.2127679,6.0358305,Yes
94,level_crossing,level_crossing,80.227699,6.0402523,
95,level_crossing,level_crossing,80.0040183,6.4027815,
96,Mahamodara Teaching Hospital,hospital,80.2061978,6.0384341,Yes
97,Temple,place_of_worship,80.2189176,6.0391918,Yes
98,Temple,place_of_worship,80.2223937,6.0452605,Yes
99,Galwadugoda Temple,place_of_worship,80.2100255,6.0420512,Yes
100,B.I.A. College,school,80.2179006,6.0254211,Yes
101,Meeran Mosque,place_of_worship,80.2187177,6.0246327,Yes
102,All Saints College,school,80.2161964,6.0281408,Yes
103, ,parking,79.8542735,6.8933931,
104,Methodist Church Kollupitiya,place_of_worship,79.8493649,6.9116713,Yes
105,Methodist College Kollupitiya,school,79.8494185,6.9115647,Yes
106,United States Embassy,embassy,79.8488273,6.9132025,
107,Indian High Commission Colombo,embassy,79.8468139,6.9194623,
108,traffic_signals,traffic_signals,79.8770546,6.8942085,
109,traffic_signals,traffic_signals,79.8770292,6.8923426,
110,traffic_signals,traffic_signals,79.8769337,6.8892052,
111,traffic_signals,traffic_signals,79.876818,6.8891782,
112,Lanka Hospital,hospital,79.875769,6.8896151,Yes
113,Ninewells Hospital,hospital,79.8826793,6.8952097,Yes
114,Asiri Surgical Hospital,hospital,79.8797172,6.8945486,Yes
115,Laugfs Auto,fuel,79.9302499,6.8450844,
116,Ceylinco Sussex College,school,80.7753395,6.9573638,Yes
117,crossing,crossing,80.8135922,6.8780712,
118,St.Xavier's Church,place_of_worship,80.7649851,6.9773138,Yes
119,Warwick Gardens Bungalow,hotel,80.8281294,6.8976685,
120, ,parking,80.7666598,6.9735691,
121,Nuwara Eliya Bus Stand,bus_station,80.7671899,6.9719942,
122,Grand Hotel,hotel,80.7646299,6.968705,
123,Breeta's Guest House & Restaurant,guest_house,80.4648369,6.9909831,
124,traffic_signals,traffic_signals,79.8727006,6.8785565,
125,traffic_signals,traffic_signals,79.875918,6.9113739,
126,Bellanthara Junction,traffic_signals,79.8854439,6.8482698,
127,Blue Water Hotel,hotel,79.9206772,6.6775998,
